 two workers are struck by motor vehicle and one is killed ,On august 27 2013 employees #1 and #2 of templar inc. a construction company specializing in fiber optic installation and services were working along a highway. The highway speed limit was posted at 55 miles per hour. Employee #1 was marking the location of an underground line that ran below the turn lane. Employee #2 was next to employee #1 and performing the duties of a flagger. A privately owned vehicle was travelling in the travel/through lane. The vehicle veered to the right entered the turn lane and struck both workers. Emergency medical services were called. Employee #1 was declared dead at the scene. Employee #2 refused emergency medical treatment for the bruises he received when struck.,traffic,,,
 foreman is fatally crushed when forklift tips over ,At approximately 6:30 a.m. on may 13 2013 employee #1 a foreman regularly employed by integrity rebar placers was operating a rough terrain forklift at a contracted job site in murrieta ca. He was using the forklift to move bundles of steel. Employee #1 was positioning the forklift to pick up another load when the forklift tipped back and over. Employee #1 exited the cab of the forklift as the machine tipped over. The forklift fell on top of employee #1 pinning him under the lower section of the boom and crushing his abdomen. He was killed. The employer notified cal/osha of this fatality at approximately 8:35 a.m. on may 13 2013. The subsequent investigation determined that employee #1 had been employed by the company for approximately 2.5 months.,collapse of object,,,
 employee suffers abdominal fracture in fall from ladder ,On april 9 2013 employee #1 was installing vinyl sidings on a single story residence. The employee was standing an a-frame ladder that was set on a plank of a scaffold. The scaffold moved causing employee #1 to lose his balance. The employee fell from the ladder approximately 12-ft to the ground. Employee #1 was transported to an area hospital where he was treated for an abdominal fracture. The employee remained hospitalized.,falls,,,
 employee's body is caught in asphalt machine  dies ,On november 27 2012 employee #1 was operating an asphalt-pulverizing machine. The employee's work clothing zipper was caught in the asphalt-pulverizing machine pulling his body into the squeeze point action of the machine. Employee #1 was amputated from the abdominal point of his body. The employee was pronounced dead at the scene.,caught in/between objects,,,
 employee is punctured in abdomen with nail ,At approximately 11:57 a.m. on september 28 2012 employee #1 was working with a coworker. Their job was to replace the felt under the concrete tile at the residential location. Once the felt was replaced the employees would put the tile back into place. Employee #1 removed debris from a roof and dumping leftover roof tile into a dumpster on the ground. His coworker the foreman was using a bostitch nail gun (model number f21pl serial number 12194029b) to insert nails into roofing tiles. After the felt was replaced the employees would put the tile back in place. While walking on the pitch of the roof employee #1 was carrying a load of leftover tile when he slipped and fell into his coworker. The coworker tried to catch employee #1 but the nail gun went off sending a nail into employee #1's abdomen. Employee #1 was transported to a medical center where he underwent surgical procedures and was hospitalized for postoperative care.,struck by moving objects,,,
 carpenter is injured in fall from ceiling joist ,On december 4 2013 employee #1 a carpenter employed by valley trinity construction co. inc. was engaged in interior carpentry work at a commercial building. He fell from a ceiling joist a fall height of approximately 6 feet. Emergency services were called and employee #1 was transported to a hospital where he was admitted and treated for bruising/abrasions to his back and neck.,falls,,,
 pipeline worker is struck and injured by falling cement ,On august 22 2013 employee #1 employed by southland/tutor perini corporation was working on a pipeline project. A piece of cement grout approximately 1.5 feet by 1.5 feet by 6 feet long fell out of the tunnel face approximately 3 feet above the invert. The cement pinned employee #1's leg against a roadheader. Employee #1 sustained bruising/contusions/abrasions. He did not require hospitalization. This incident was reported to cal/osha which subsequently led to an investigation.,collapse of object,,,
 employee crushes leg  suffers possible fracture ,On july 9 2013 employee #1 with aquatic environments inc. was performing maintenance on a backhoe-like piece of equipment (called an aquamog) used to maintain aquatic environments. Employee #1's leg was trapped between a moving boom section and the swing saddle/a-frame previously installed on the aquamog vessel. Employee #1 was hospitalized.,caught in/between objects,,,
 worker falls from roof and breaks arm ,On june 19 2013 employee #1 employed by a construction company was doing roofing work on a new home construction. He was installing roofing felt paper. He walked backwards and fell off the roof. He landed on the ground a distance of 12 to 14 feet. Emergency services were called. Employee #1 was transported to the hospital where he was treated for a fracture of the left arm and a scrape to the left side of his face. He was not hospitalized.,falls,,,
 driver hurt when truck unloading sand overturns ,On june 18 2013 an employee was working as the driver of a tractor trailer dump truck. He was delivering sand to a construction site. To reach the site where he would dump the sand he backed his rig up a previously deposited pile of dirt. The left rear wheels of the trailer were raised approximately 2 feet (0.6 meters) above the level of the rest of the ground. With the truck not level the employee then raised the trailer bed to dump the sand. The tractor and trailer overturned to the right side. The employee sustained bruises contusions and abrasions. He was transported to an emergency room provided medical treatment and released.,traffic,,,
 tile setter sustains injuries in fall from ladder ,At approximately 3:45 p.m. on april 2 2013 an employee was working as a tile setter for jeffrey razook tile. The firm installed ceramic tile. The employee had been working for the company for approximately six months. At the time of the incident he was performing his daily duties. He was working within proximity of an onsite coworker. The employee and the coworker were working from 16-foot (4.9-meter) extension ladders caulking the edges of five balconies. The employee reached over to his left lost his balance and fell to the ground. He fell approximately 11 feet (3.4 meters). He sustained bruises contusions and abrasions. He was transported to cottage hospital where he was treated for three hours. The division was notified of the accident by the santa barbara ca fire department at 4:57 p.m. that same day. It initiated an inspection on april 12 2013. Interviews were conducted of the employee his supervisor and the coworker.,falls,,,
